,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:1,Outros,Número de cetanos
A43,0,0,0,0,6.06,4.8,20.5,67.7,0.4,0,0,0,0.54,45.2
A44,0,0,0,0,6.38,4.09,23.68,63.29,0.36,0,0,0,2.2,46.1
A45,0,0,0,0,8.6,1.93,11.58,77.89,0,0,0,0,0,43.2
A46,0,0,0,0,6.1,4.2,24,63.5,0.4,0,0,0,1.8,46
A47,0,0,0,0,4.2,2,64,20.6,9.2,0,0,0,0,50.8
A48,0,0,0,0,3.5,0.9,64.1,22.3,8.2,0,0,0,1,50.5
A49,0,0,0,0,3.49,0.85,64.4,22.3,8.23,0,0,0,0.73,50.5
A50,0,0,0,0.1,4.8,0.4,61.6,20.6,9.2,0,0,0,3.3,50.8
A51,0,0,0,0,4.3,1.9,61.5,20.6,8.3,0,0,0,3.4,51.3
A52,0,0,0,1.2,20.6,4.6,19.54,52.5,0.4,0,0,0,1.16,51
A53,0,0,0.1,0.7,20.1,2.6,19.2,55.2,0.6,0,0,0,1.5,49.8
A54,0,0,0,0,28.7,0.9,13,57.4,0,0,0,0,0,50.6
A55,0,0,0,0,11.67,0.89,13.27,57.51,0,0,0,0,16.66,48.3
